May 19 2025,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
GeT_RiGhT,39,Christopher Alesund,Sweden,34,N/A,1.09,4240,1765,45464,33523,29283,1.14,49.3,76.4,1.04,"{""2012"":1.47,""2013"":1.33,""2014"":1.15,""2015"":1.1,""2016"":1.09,""2017"":1.01,""2018"":0.94,""2019"":0.88,""2020"":0.96,""2021"":0.93,""2022"":0.68,""2023"":0.8,""2024"":0.97}",565,"[""11407/Team GeT_RiGhT"",""12135/boomer demons"",""5133/Sweden"",""9735/Lilmix"",""5422/Dignitas"",""10495/FACEIT Level Tenz"",""4494/MOUZ"",""4411/Ninjas in Pyjamas"",""10149/Team ROTW"",""9956/Western Titans"",""9190/Team West"",""6901/Europe All-Stars"",""6578/Play It Cool All-Stars"",""6134/Kinguin"",""5828/Jynttä"",""4857/All-Stars Europe"",""5585/GO4Balkan"",""3581/ColdGame"",""4166/AliGon"",""3222/Free Agents"",""69/SK Gaming"",""53/Sweden"",""3492/SK community 1"",""160/fnatic"",""1703/duttdutt"",""2596/Team C"",""1705/Lions"",""221/Blank"",""1269/Playnation"",""1270/VIB"",""157/NiP"",""5479/Mythic"",""12492/olofmeister's Team"",""10870/Come Mid""]",1,12,23,99,10,4,2,1
pronax,41,Markus Wallsten,Sweden,32,N/A,0.89,-2267,1199,31403,18722,20989,0.89,45.8,64.7,0.83,"{""2012"":0.86,""2013"":0.99,""2014"":0.93,""2015"":0.9,""2016"":0.86,""2017"":0.83,""2018"":0.83,""2019"":0.81}",306,"[""6902/GODSENT"",""6685/Ancient"",""9791/ROG pronax"",""9720/Monopol"",""7823/fightclub"",""7701/Imperial"",""9085/Chaos"",""8721/Enyoy"",""6418/KoN Sweden"",""8533/katjakaj&bentebent"",""8426/Kindest Regards"",""4804/AWTR"",""8301/YOY"",""7378/dreamchasers"",""4606/BX3"",""4991/fnatic"",""5133/Sweden"",""4983/n!faculty"",""4477/Publiclir.se"",""4488/Absolute Legends"",""4806/CAI"",""4776/atrc"",""1703/duttdutt"",""3228/a2g"",""2234/AWTR"",""4201/Coldgame.se"",""53/Sweden"",""4108/Rullestolsracers"",""3691/ESC Gaming.se"",""3138/RG-Esports"",""3627/dundermixen"",""3371/Charge"",""1705/Lions"",""2244/Coldfrag"",""2289/Aquintra "",""2338/Crystal.DD"",""1804/XLBet.Playzone"",""1670/duki"",""1588/sChEnArEy""]",3,8,13,45,0,0,0,N/A
BARBARR,44,André Möller,Sweden,33,N/A,0.99,-20,876,23180,15776,15796,1,42.7,74.8,1.03,"{""2012"":0.97,""2013"":0.81,""2015"":1.03,""2016"":1.07,""2017"":0.99,""2018"":0.98,""2019"":0.85,""2020"":0.79}",246,"[""10592/Wygers"",""9481/x6tence Galaxy"",""9382/Equals"",""6978/Singularity"",""4688/Epsilon"",""8426/Kindest Regards"",""6832/Iwku"",""6865/Escape"",""6405/Orgless"",""5745/Games4u"",""6675/PixelFire"",""6460/CSGO.one"",""6467/CSGOBESTPOT.com"",""5399/GreyFace"",""5319/Property"",""4804/AWTR"",""5999/ISKOLD"",""4887/Vikings"",""4445/FMESPORTS"",""2234/AWTR"",""3691/ESC Gaming.se"",""3138/RG-Esports"",""3489/decerto"",""3627/dundermixen"",""53/Sweden"",""3371/Charge"",""2682/puta"",""2730/Playzone.se"",""3059/sweda"",""1161/ex-MYM"",""1705/Lions"",""2244/Coldfrag"",""1804/XLBet.Playzone"",""611/PZ"",""1588/sChEnArEy""]",0,0,0,3,0,0,0,N/A
trace,58,Martin Heldt,Denmark,33,N/A,0.97,8,125,3109,2017,2009,1,51,73.8,N/A,"{""2012"":0.99,""2013"":0.96,""2018"":0.97}",23,"[""8944/Memorable"",""4623/fnatic"",""160/fnatic"",""4385/DeStRoYeRs"",""4193/eSrael.dk"",""69/SK Gaming"",""3866/Anexis"",""158/mTw"",""2049/Zealand"",""2378/X"",""44/Denmark"",""2597/Team D"",""334/PlayZeek"",""166/Spirit of Amiga"",""695/FearMe""]",0,0,0,6,0,0,0,N/A
nooky,77,Andre Utesch,Germany,37,N/A,0.96,-44,192,4994,3274,3318,0.99,46.9,88.1,N/A,"{""2012"":0.94,""2013"":1.01,""2014"":0.9,""2016"":1.25,""2018"":1.18,""2019"":1.02}",61,"[""8695/ROG nooky"",""5195/Planetkey"",""4494/MOUZ"",""5143/Germany"",""5333/hudzGs TEAM"",""4901/3DMAX"",""4500/logiX"",""4913/swog"",""4497/mTw"",""4278/Dillon Panthers"",""167/mTw.de"",""304/ID Gaming""]",0,0,0,0,0,0,0,N/A
approx,92,Manuel Zeitz,Germany,36,N/A,0.94,-112,129,3332,2057,2169,0.95,36.2,N/A,N/A,"{""2012"":1,""2013"":0.9,""2014"":0.93,""2015"":1}",31,"[""4689/EYES ON U"",""4501/ALTERNATE aTTaX"",""4901/3DMAX"",""4913/swog"",""4494/MOUZ"",""61/Alternate"",""45/Germany"",""60/mousesports"",""2597/Team D""]",0,0,0,0,0,0,0,N/A
zonixx,102,Michele Köhler,Germany,32,N/A,0.94,-133,166,4329,2753,2886,0.95,48.2,76.8,N/A,"{""2012"":0.64,""2013"":0.95,""2014"":1.01,""2015"":0.78,""2016"":0.79,""2017"":0.97,""2018"":0.86,""2019"":0.94}",51,"[""6693/PANTHERS"",""4501/ALTERNATE aTTaX"",""7542/ROG zonixx"",""7411/WaSiStLoWs"",""6943/un-named"",""5395/PENTA"",""4494/MOUZ"",""5333/hudzGs TEAM"",""4901/3DMAX"",""5143/Germany"",""4913/swog"",""4518/zuom"",""60/mousesports"",""469/TBH"",""3089/myRevenge.de"",""1453/Hardware4u"",""63/Frankfurt 69ers"",""601/Nanoxia"",""283/Italy""]",0,0,0,0,0,0,0,N/A
rEcki,114,Lucas Reckermann,Germany,34,N/A,0.88,-65,24,595,372,437,0.85,52.2,56.6,N/A,"{""2012"":0.85,""2013"":0.93,""2015"":0.9,""2016"":0.63}",5,"[""7288/TYSKER"",""4468/x6tence"",""4499/CPLAY"",""4553/ServerForge"",""4271/Karont3.es"",""2224/extravaganza"",""2056/Tera-Gaming"",""1772/SNOGARD Dragons"",""156/x6tence"",""1691/ESC Gaming.de""]",0,0,0,0,0,0,0,N/A
Troubley,128,Tobias Tabbert,Germany,31,N/A,1.08,484,266,6808,5125,4641,1.1,48.4,N/A,N/A,"{""2012"":1.26,""2013"":1.14,""2014"":1.13,""2015"":0.91}",81,"[""5395/PENTA"",""6042/MnM"",""4494/MOUZ"",""5195/Planetkey"",""5143/Germany"",""4901/3DMAX"",""5090/Party Daddlers"",""5009/Playing Ducks"",""61/Alternate"",""3400/dotpiXels"",""3089/myRevenge.de"",""45/Germany"",""469/TBH"",""176/n!faculty"",""1453/Hardware4u"",""2135/LeiSuRe""]",0,2,0,0,0,0,0,N/A
gob b,136,Fatih Dayik,Germany,36,N/A,0.85,-2839,980,25846,14510,17349,0.84,48.5,66.5,0.85,"{""2012"":0.62,""2013"":0.76,""2014"":0.79,""2015"":0.82,""2016"":0.83,""2017"":0.89,""2018"":0.9,""2019"":0.83,""2022"":0.78}",300,"[""7532/BIG"",""7507/hmm"",""6673/NRG"",""4494/MOUZ"",""5143/Germany"",""4501/ALTERNATE aTTaX"",""4518/zuom"",""60/mousesports"",""1691/ESC Gaming.de"",""284/Turkey""]",0,6,0,34,0,0,0,N/A
Tixo,137,Manuel Makohl,Germany,N/A,N/A,0.77,-219,42,1060,590,809,0.73,50.5,N/A,N/A,"{""2015"":0.77}",9,"[""5195/Planetkey"",""4494/MOUZ"",""61/Alternate"",""60/mousesports"",""45/Germany"",""1457/All-Star Team A"",""167/mTw.de""]",0,0,0,0,0,0,0,N/A
Ozstrik3r,146,Steeve Flavigni,France,44,N/A,0.66,-263,36,919,413,676,0.61,55.2,N/A,N/A,"{""2012"":0.56,""2013"":0.7}",9,"[""4615/Imaginary"",""4559/Millenium"",""407/JaS"",""4360/push the button"",""3765/IYH"",""4174/e2g"",""593/LDLC.com"",""1686/shockwave"",""594/Millenium"",""375/aAa""]",0,0,0,0,0,0,0,N/A
SIXER,147,Christophe Xia,France,33,N/A,1.01,1271,1189,31346,20764,19493,1.07,38.5,70,0.92,"{""2013"":0.94,""2014"":0.68,""2016"":0.96,""2017"":0.93,""2018"":0.98,""2019"":1.04,""2020"":1.08,""2021"":1.01,""2022"":1.17,""2023"":1.06,""2024"":1.01}",456,"[""11609/GenOne"",""7674/Ambush"",""11283/Falcons"",""4674/LDLC"",""10586/Avengers"",""9150/LAMIF"",""4914/3DMAX"",""7701/Imperial"",""9211/LeftOut"",""9210/Boys in Blue"",""5991/Envy"",""7856/EnVyUs Academy"",""6626/MINLATE"",""8890/weneeddollars"",""4559/Millenium"",""5142/France"",""4456/Epsilon"",""5054/WARMAKER"",""4360/push the button"",""4367/Contenders"",""4274/ohyea"",""37/France"",""3266/Electronic Sahara"",""593/LDLC.com"",""3216/FACE2FACE"",""2743/BURNING!"",""594/Millenium"",""11941/kennyS' Team"",""12637/LOADING"",""12816/Over30"",""12594/Onyx Ravens""]",0,2,1,18,0,0,0,N/A
MAJ3R,150,Engin Küpeli,Turkey,34,N/A,0.94,-1430,1565,40088,25023,26453,0.95,48.1,71.3,0.95,"{""2013"":0.9,""2014"":0.74,""2015"":0.59,""2016"":0.97,""2017"":0.97,""2018"":0.96,""2019"":0.86,""2020"":0.94,""2021"":0.98,""2022"":0.94,""2023"":0.88,""2024"":0.89}",483,"[""11251/Eternal Fire"",""10333/Sangal"",""10144/Turkey5"",""4674/LDLC"",""9572/ex-Space Soldiers"",""5929/Space Soldiers"",""4559/Millenium"",""5106/Turkey"",""4456/Epsilon"",""5054/WARMAKER"",""4615/Imaginary"",""4367/Contenders"",""4274/ohyea"",""3266/Electronic Sahara"",""37/France"",""594/Millenium"",""3216/FACE2FACE"",""2743/BURNING!"",""11861/Aurora""]",0,3,0,28,1,0,0,N/A
Gux,152,Rasmus Ståhl,Sweden,34,0.95,N/A,-111,49,1291,791,902,0.88,50.9,69.8,0.56,"{""2017"":0.95,""2018"":0.75,""2020"":0.62}",18,"[""9928/GamerLegion"",""4763/hatersg0nnahate"",""5793/FiMAGi"",""8279/hASSeLsNOk"",""7998/Gux & Friends"",""160/fnatic"",""1705/Lions"",""69/SK Gaming"",""53/Sweden"",""221/Blank"",""1269/Playnation"",""159/EYE"",""453/Volt""]",0,0,0,0,0,0,0,N/A
Jumpy,153,Jimmy Berndtsson,Sweden,36,N/A,0.83,-594,175,4605,2562,3156,0.81,37.7,62.2,0.73,"{""2014"":0.91,""2015"":0.84,""2016"":0.83,""2017"":0.37,""2020"":0.72}",58,"[""7533/North"",""4991/fnatic"",""6865/Escape"",""4894/AliGon"",""6706/QuackPack"",""6842/Plantronics"",""6467/CSGOBESTPOT.com"",""5399/GreyFace"",""4804/AWTR"",""5999/ISKOLD"",""5766/Orbit"",""5319/Property"",""5679/ESG!"",""5988/FlipSid3"",""985/Playstar"",""2234/AWTR"",""3228/a2g"",""3865/Players"",""3691/ESC Gaming.se"",""3059/sweda"",""1161/ex-MYM"",""1037/Da-Mighty"",""53/Sweden"",""2304/ProStaker"",""221/Blank"",""834/da4ce"",""453/Volt""]",0,0,0,0,0,0,0,N/A
HaRts,156,Michael Zanatta,France,37,N/A,0.77,-506,116,2993,1453,1959,0.74,46.7,58.8,N/A,"{""2013"":0.86,""2014"":0.72,""2016"":0.71}",29,"[""4559/Millenium"",""5779/Bizounours"",""4948/Clan-Mystik"",""5142/France"",""4377/Bz"",""37/France"",""3266/Electronic Sahara"",""4009/viva Algeria"",""594/Millenium"",""3082/wCrea"",""2748/Fair Frag"",""501/ex-oXmoze""]",0,2,1,3,0,0,0,N/A
ioRek,157,Jeremy Vuillermet,France,35,N/A,0.85,-187,71,1854,1036,1223,0.85,46.4,79.1,N/A,"{""2013"":0.88,""2014"":0.8,""2015"":0.73,""2016"":0.82}",21,"[""6717/XenoDragons"",""5284/Titan"",""5779/Bizounours"",""5142/France"",""4948/Clan-Mystik"",""4377/Bz"",""4360/push the button"",""3765/IYH"",""3450/nSydia "",""3266/Electronic Sahara"",""593/LDLC.com"",""594/Millenium"",""3082/wCrea"",""2748/Fair Frag"",""37/France"",""501/ex-oXmoze""]",0,1,1,3,0,0,0,N/A
MaT,158,Mathieu Leber,France,37,N/A,0.72,-58,9,210,101,159,0.64,57.4,54.6,N/A,"{""2013"":0.76,""2014"":0.76,""2016"":0.56}",2,"[""6717/XenoDragons"",""4948/Clan-Mystik"",""4674/LDLC"",""4512/eXtensive"",""3765/IYH"",""37/France"",""3266/Electronic Sahara"",""594/Millenium"",""1943/Mojawi"",""2748/Fair Frag"",""501/ex-oXmoze""]",0,0,0,0,0,0,0,N/A
mSx,159,Mickael Cassisi,France,35,0.78,N/A,-36,7,158,89,125,0.71,57.3,60.4,N/A,"{""2016"":0.76}",1,"[""4559/Millenium"",""6717/XenoDragons"",""3266/Electronic Sahara"",""37/France"",""3473/Virus Gaming"",""594/Millenium"",""2748/Fair Frag"",""1943/Mojawi"",""501/ex-oXmoze""]",0,0,0,0,0,0,0,N/A
TaZ,161,Wiktor Wojtas,Poland,38,N/A,0.94,-2488,2403,63259,40497,42985,0.94,51.4,67.1,0.95,"{""2012"":1.14,""2013"":1.1,""2014"":1,""2015"":0.99,""2016"":0.98,""2017"":0.89,""2018"":0.94,""2019"":0.89,""2020"":0.83,""2021"":0.83,""2022"":0.87,""2023"":0.77,""2024"":0.56}",739,"[""10737/HONORIS"",""10494/ARCY"",""10020/Aristocracy"",""9862/devils.one"",""6134/Kinguin"",""5378/Virtus.pro"",""5137/Poland"",""5586/GO4Serbia"",""5274/AGAiN"",""4533/UniversalSoldiers"",""5267/Team Thorin"",""4532/ESC"",""4742/Nostalgie"",""4104/ESC Gaming"",""47/Poland"",""4007/AGAiN"",""507/Frag eXecutors"",""2597/Team D"",""205/Pentagram"",""12493/TaZ's Team"",""5995/G2""]",1,12,12,84,1,0,0,N/A
