May 19 2025,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
kzy,3517,Oliver Heck,Germany,33,N/A,0.94,-835,991,25840,16491,17326,0.95,47.6,72.6,0.97,"{""2012"":0.84,""2013"":0.73,""2014"":0.77,""2015"":1,""2016"":0.96,""2017"":1.07,""2018"":0.94,""2019"":0.91,""2020"":0.8,""2021"":0.91,""2022"":1.02}",353,"[""5090/Party Daddlers"",""11060/EPIC DUDES"",""5540/TTC"",""10968/cowana"",""4501/ALTERNATE aTTaX"",""9812/Unicorns of Love"",""4639/NeverPlay"",""6343/EURONICS"",""8397/TBA"",""7425/DIVIZON"",""5143/Germany"",""5093/KILLERFISH"",""6154/uX"",""5009/Playing Ducks"",""4494/MOUZ"",""4496/dotpiXels"",""4500/logiX"",""3089/myRevenge.de"",""4276/Da-MiGhtY"",""2114/NeverPlay"",""469/TBH"",""2135/LeiSuRe""]",0,0,0,0,0,0,0,N/A
DJOXiC,3543,Đorđe Niciforović,Serbia,30,N/A,1.08,1204,489,12531,9002,7798,1.15,29.8,73,0.92,"{""2014"":0.98,""2015"":1.08,""2016"":1.09,""2017"":1.11,""2018"":0.97,""2019"":0.93}",159,"[""10382/RADNICKI"",""10439/cabrone5"",""7348/Entity"",""9679/Akopalipsa"",""5273/GamePub"",""8127/KlikTech"",""9027/Lunacy"",""8481/Valiance"",""6669/Binary Dragons"",""4803/iNation"",""5111/Serbia"",""6266/CSGO-Saloon"",""4731/E-Frag"",""4114/DEFUSE"",""4310/SpiN"",""3419/iNation"",""3720/SOULWAX"",""3496/urbanExp""]",0,0,0,0,0,0,0,N/A
haste,3545,Thomas Dyrensborg,Denmark,32,N/A,0.82,-1310,341,8835,5008,6318,0.79,45.1,67.1,0.81,"{""2013"":0.69,""2014"":0.84,""2015"":0.85,""2016"":0.83,""2017"":0.81,""2018"":0.84,""2019"":0.89,""2020"":0.7}",70,"[""8769/Nordavind"",""10372/Sigma"",""8716/GoldenGitte"",""7669/Squared"",""9972/Balderisnor"",""5208/Reason"",""6417/KoN Denmark"",""6855/Fragsters"",""6946/Magistra"",""5061/midlertidig"",""7580/FUAH"",""7361/NiceShot"",""7451/BFAIM"",""5455/NewStyle"",""6807/Alpha"",""6806/Nevermad"",""6448/Revival"",""6592/enable"",""6524/EZmarket.org"",""5595/nerdRage"",""5139/Denmark"",""6017/madjicK"",""5449/NO SIR!"",""5125/Cursive"",""4186/dafuq"",""4128/iF"",""3933/premium"",""3549/venator"",""3500/Gamerzone.dk""]",0,0,0,0,0,0,0,N/A
dArk,3581,Sebastian Babiński,Poland,N/A,N/A,0.96,-35,55,1364,909,944,0.96,43.3,77.4,N/A,"{""2013"":0.91,""2014"":1.08,""2015"":0.87,""2016"":0.88,""2017"":1.02}",10,"[""7253/VenatoreS"",""7341/Golden Children"",""5616/KNR"",""7118/TBD-PL"",""4532/ESC"",""5995/G2"",""5283/AMNESIA"",""4534/ALSEN"",""4173/SMAGA"",""1176/DELTA""]",0,0,0,0,0,0,0,N/A
Polly,3631,Pål Kammen,Norway,32,N/A,0.93,-611,461,11987,7646,8257,0.93,41.2,62.6,1.01,"{""2013"":0.94,""2014"":0.95,""2015"":0.98,""2016"":0.95,""2017"":1.05,""2019"":0.99,""2020"":0.73,""2021"":0.71,""2022"":0.69}",149,"[""9806/Apeks"",""11243/Apeks Rebels"",""7318/Norse"",""7243/.Norway"",""5108/Norway"",""6220/Epiphany Bolt"",""5214/PANTERS"",""5569/London Conspiracy"",""4606/BX3"",""6320/Aspen"",""5962/LGB"",""4904/H2k"",""4611/Temp.no"",""4672/team xxx"",""3935/Cleanup Crew"",""3410/Hadelan""]",0,2,0,0,0,0,0,N/A
innocent,3669,Paweł Mocek,Poland,31,N/A,0.99,-74,2146,55720,37973,38047,1,46.1,76,0.98,"{""2013"":0.94,""2014"":0.92,""2015"":1.02,""2016"":0.95,""2017"":1.04,""2018"":1.05,""2019"":1.01,""2020"":1.04,""2021"":0.97,""2022"":0.97,""2023"":0.91,""2024"":0.89}",748,"[""10973/Anonymo"",""10737/HONORIS"",""12184/ODLOTOWE AGENTKI"",""10902/Poland"",""8362/MAD Lions"",""8813/Illuminar"",""8846/x-kom"",""9968/Team seang@res"",""9698/2019"",""6118/Tempo Storm"",""8637/Sprout"",""6134/Kinguin"",""8452/Seed"",""5395/PENTA"",""6896/PRIDE"",""7345/LEFTOVERS"",""5137/Poland"",""5599/Dobry&Gaming"",""6372/CSGL"",""6471/YP"",""5995/G2"",""4532/ESC"",""5211/MYM"",""5055/Wiadro-Gaming"",""4534/ALSEN"",""4538/DELTA"",""1176/DELTA"",""3520/MaxFloPlaY"",""8248/PACT"",""12493/TaZ's Team"",""12642/Rebels"",""10488/Secret""]",0,3,0,7,0,0,0,N/A
HOLMES,3730,Petar Dimitrijević,Serbia,31,N/A,0.95,-443,474,12379,8261,8704,0.95,44.6,77.6,0.87,"{""2015"":0.9,""2016"":1.07,""2017"":1.03,""2018"":0.93,""2019"":0.95,""2020"":0.91,""2021"":0.88,""2022"":0.93,""2023"":0.72,""2024"":0.52}",151,"[""12166/Twisted Minds"",""11882/GRGECHI"",""4803/iNation"",""11208/Marten"",""7555/ROYALS"",""10545/Chetz"",""11001/ONYX"",""9802/Budapest Five"",""10934/Saints"",""7711/lvlUP"",""10889/cTa"",""10727/Excellency"",""7666/Defusekids"",""10382/RADNICKI"",""10269/potatosquad"",""5347/BLUEJAYS"",""9679/Akopalipsa"",""9611/Zagreb360"",""8127/KlikTech"",""8655/Sanctuary"",""7497/RESISTANCE"",""5590/proWince"",""7669/Squared"",""7449/Brewtopia"",""7310/Guerilla Method"",""7014/TEAM1231"",""6100/RB"",""6361/FLUGGENKLINGENKEIN"",""6128/Jake Bube"",""4310/SpiN"",""4121/E-Frag"",""480/Serbia"",""3615/NSB"",""3963/RB"",""2019/neWave""]",0,0,0,0,0,0,0,N/A
DiMKE,3732,Dimitrije Veljković,Serbia,30,N/A,1.02,476,711,18712,13116,12640,1.04,47.1,78.6,0.98,"{""2014"":1.2,""2015"":1.07,""2016"":1.18,""2017"":1.05,""2018"":1.08,""2019"":1,""2020"":1.01,""2021"":1.01,""2022"":0.96,""2023"":0.98,""2024"":1.03}",227,"[""12383/ex-iNation"",""4803/iNation"",""11523/Zero Tenacity"",""6128/Jake Bube"",""11386/0to100"",""11813/ex-4glory"",""10933/4glory"",""11001/ONYX"",""7711/lvlUP"",""10509/Juggernauts"",""10453/ex-BLUEJAYS"",""5347/BLUEJAYS"",""9679/Akopalipsa"",""6183/R5"",""9376/UltiCoin"",""8992/Bajini Puleni"",""8657/DKISS"",""7497/RESISTANCE"",""7712/cs24h"",""7310/Guerilla Method"",""7014/TEAM1231"",""6100/RB"",""5111/Serbia"",""6266/CSGO-Saloon"",""5590/proWince"",""4310/SpiN"",""2232/eu4ia"",""4121/E-Frag"",""480/Serbia"",""3615/NSB"",""3963/RB"",""2019/neWave""]",0,0,0,0,0,0,0,N/A
NiKo,3741,Nikola Kovač,Bosnia and Herzegovina,28,N/A,1.15,6759,2113,54681,42990,36231,1.19,51.2,85.3,1.19,"{""2013"":1.15,""2014"":1.2,""2015"":1.19,""2016"":1.16,""2017"":1.17,""2018"":1.18,""2019"":1.11,""2020"":1.12,""2021"":1.14,""2022"":1.13,""2023"":1.14,""2024"":1.11}",725,"[""5995/G2"",""6667/FaZe"",""4803/iNation"",""4494/MOUZ"",""5109/Bosnia & Herzegovina"",""6901/Europe All-Stars"",""6137/SK"",""6134/Kinguin"",""4857/All-Stars Europe"",""5722/aimface"",""5273/GamePub"",""5063/Refuse"",""4692/e-Sports.rs"",""3419/iNation"",""4310/SpiN"",""4285/aimface"",""4114/DEFUSE"",""3611/MK.inuria"",""287/B & H"",""2232/eu4ia"",""3527/FullProof"",""11283/Falcons""]",0,14,17,111,9,9,7,2
mithR,3769,Torbjørn Nyborg,Denmark,33,N/A,0.81,-131,33,826,447,578,0.77,51.7,63.5,N/A,"{""2015"":1.03,""2017"":0.78,""2018"":0.73,""2019"":0.64}",8,"[""7533/North"",""4501/ALTERNATE aTTaX"",""8173/SPRITTET"",""7551/Tricked Academy"",""6068/Free Transfer"",""3547/99dAMAGE""]",0,0,0,0,0,0,0,N/A
quiNz,3770,Andreas Herdorf,Denmark,29,N/A,0.96,-127,162,4181,2676,2803,0.95,47.8,70.6,0.75,"{""2015"":1.03,""2016"":1,""2017"":0.98,""2018"":0.89}",54,"[""4602/Tricked"",""8971/Great Danes"",""9041/yodelin"",""7674/Ambush"",""6417/KoN Denmark"",""7743/OPAA"",""6946/Magistra"",""6676/OnlineRol"",""7986/preanus"",""7937/Competitive"",""7461/Copenhagen Flames"",""7686/pikgiffeN"",""5909/No Problem!"",""7239/ROB"",""6855/Fragsters"",""5323/jQntefabrikkeN"",""4370/Midwest"",""3940/POKEGUYZ"",""3547/99dAMAGE""]",0,0,0,0,0,0,0,N/A
funtz,3797,Sebastian Helm,Denmark,27,N/A,0.99,1,53,1322,897,896,1,49.3,69.9,N/A,"{""2015"":1.14,""2016"":0.85,""2017"":0.97,""2018"":1.2,""2019"":0.85}",22,"[""9864/POGGERS"",""8706/Ignite"",""8465/LPSP"",""8299/INNOCENT"",""8082/sickteam"",""6417/KoN Denmark"",""7501/ANIMALS"",""5909/No Problem!"",""5125/Cursive"",""5831/Isak"",""6324/Los Jefes"",""4548/CPH Wolves"",""4546/puta"",""3548/nex-Gaming""]",0,0,0,0,0,0,0,N/A
TOBIZ,3820,Tobias Theo,Denmark,29,0.93,N/A,-846,291,7669,4378,5224,0.84,45.2,68.5,1.01,"{""2017"":0.99,""2018"":1.01,""2019"":0.94,""2020"":0.82,""2021"":0.87,""2022"":0.55,""2023"":0.81,""2024"":0.81}",103,"[""11176/MOUZ NXT"",""10867/MASONIC"",""11134/CEPTER"",""6807/Alpha"",""6978/Singularity"",""10576/water gamers"",""9728/maquinas"",""9981/STEP"",""7461/Copenhagen Flames"",""8925/Atlando"",""8568/Sublife"",""4485/ImmuNe "",""8673/BRIEF"",""7775/VHQ&T"",""3939/AFDANKET"",""3546/rimosso""]",0,0,0,0,0,0,0,N/A
oW^,3833,Oliver Winther,Denmark,N/A,N/A,0.94,-76,77,2009,1277,1353,0.94,33.4,71,0.75,"{""2015"":0.77,""2016"":1.08,""2017"":0.87,""2018"":0.92,""2019"":1.09}",33,"[""10162/Tenerife Titans"",""8362/MAD Lions"",""7299/Asterion"",""6666/QuietPlease"",""4949/Giants"",""7627/WASD"",""6810/aimclub"",""6946/Magistra"",""6417/KoN Denmark"",""2775/Value""]",0,0,0,0,0,0,0,N/A
znajder,3847,Andreas Lindberg,Sweden,30,N/A,1.03,1070,1050,27577,19778,18708,1.06,47.9,76.8,0.99,"{""2012"":1.12,""2013"":1.06,""2014"":1.07,""2015"":1.04,""2016"":1.09,""2017"":0.93,""2018"":0.95,""2019"":1.04,""2021"":0.96}",302,"[""4413/Lemondogs"",""6902/GODSENT"",""6685/Ancient"",""6343/EURONICS"",""6978/Singularity"",""7378/dreamchasers"",""5133/Sweden"",""5310/HellRaisers"",""5422/Dignitas"",""5395/PENTA"",""5595/nerdRage"",""6134/Kinguin"",""5093/KILLERFISH"",""6168/1337"",""4991/fnatic"",""5319/Property"",""5988/FlipSid3"",""5936/kassad's Legends"",""4666/duttdutt"",""4494/MOUZ"",""5793/FiMAGi"",""5748/Nostalgie"",""5651/tomtebloss"",""4688/Epsilon"",""4488/Absolute Legends"",""4607/Western Wolves"",""4542/SY&b"",""3922/hatersG0nnahate"",""4052/Hellslayers"",""4300/Spelfronten"",""4201/Coldgame.se"",""3290/teamclanb0t"",""3581/ColdGame""]",1,3,1,24,0,0,0,N/A
xperience,3848,Robin Wiklund,Sweden,N/A,N/A,0.89,-41,18,449,270,311,0.87,40.4,N/A,N/A,"{""2014"":0.89,""2015"":0.89}",8,"[""5451/dope"",""4477/Publiclir.se"",""4201/Coldgame.se"",""3290/teamclanb0t""]",0,0,0,0,0,0,0,N/A
JW,3849,Jesper Wecksell,Sweden,30,N/A,1.04,2485,2716,70013,50378,47893,1.05,36,75.5,1.03,"{""2012"":0.97,""2013"":1.09,""2014"":1.16,""2015"":1.07,""2016"":1.06,""2017"":1.07,""2018"":0.99,""2019"":1.01,""2020"":0.99,""2021"":0.91,""2022"":1.04,""2023"":0.98,""2024"":1.01}",790,"[""11737/EYEBALLERS"",""4762/Hellslayers"",""11102/GORILLAZ"",""4991/fnatic"",""11097/Team YNk"",""11073/kingkongflowers"",""7952/#FREEIBP"",""6902/GODSENT"",""5133/Sweden"",""4857/All-Stars Europe"",""5319/Property"",""5587/GO4Croatia"",""4688/Epsilon"",""4488/Absolute Legends"",""4486/gosu "",""4166/AliGon"",""4211/bellum"",""4052/Hellslayers"",""3866/Anexis"",""4300/Spelfronten"",""3290/teamclanb0t"",""3581/ColdGame""]",3,14,22,89,3,3,3,5
relIk,3868,André Larsson,Sweden,N/A,N/A,0.97,-9,31,802,546,555,0.98,34.1,76.7,N/A,"{""2012"":1.02,""2013"":0.89,""2014"":1.03,""2016"":1.01}",7,"[""6949/CETCTM"",""5988/FlipSid3"",""5030/highgrade"",""4740/VYE"",""4489/Lions"",""3922/hatersG0nnahate"",""4052/Hellslayers"",""2068/IMBA"",""2071/Games4u"",""1409/deathfancy""]",0,0,0,0,0,0,0,N/A
downie,3871,Simon Storm,Sweden,28,N/A,1.07,656,317,8286,5886,5230,1.13,48.7,75.9,0.84,"{""2012"":1.05,""2013"":0.97,""2015"":1.04,""2016"":1.07,""2017"":1.12,""2020"":0.88}",145,"[""9735/Lilmix"",""6978/Singularity"",""7168/Crowns"",""4804/AWTR"",""4894/AliGon"",""7692/zzz"",""6724/Preparation"",""7039/ArchAngels"",""6832/Iwku"",""7058/Unity"",""6670/CSGO2x"",""6945/Metapods"",""6287/Torpedo"",""5451/dope"",""5319/Property"",""4477/Publiclir.se"",""6168/1337"",""4761/WRTT"",""4607/Western Wolves"",""4542/SY&b"",""3922/hatersG0nnahate"",""4211/bellum"",""3318/bounZe""]",0,0,0,0,0,0,0,N/A
awwe,3872,Anton Pålsson,Sweden,29,N/A,0.85,-199,61,1566,951,1150,0.83,41.6,83.1,0.75,"{""2014"":0.97,""2015"":0.79,""2016"":1.06}",25,"[""6832/Iwku"",""5451/dope"",""4477/Publiclir.se"",""4211/bellum"",""3836/AEQ""]",0,0,0,0,0,0,0,N/A
seb,3886,Sebastian Bucki,United States,32,N/A,0.97,-224,603,15586,10456,10680,0.98,45.5,76,0.87,"{""2015"":1.03,""2016"":0.91,""2017"":1,""2018"":0.97,""2019"":0.95,""2020"":1.02}",246,"[""6238/Ze Pug Godz"",""10625/Swole Identity"",""6978/Singularity"",""10080/New Identity"",""9784/MASSIVEimpact"",""9967/Team Skadoodle"",""9515/cantwinalan"",""8700/BlackOut"",""9014/The Pioneers"",""7801/Ghost"",""6710/Bee's Money Crew"",""6556/SteamAnalyst"",""6981/Kaliber"",""6914/Without a Roof"",""6753/8 Minded"",""6457/Nexus Storm"",""4288/sapphirekelowna"",""2406/Blight Gaming""]",0,0,0,0,0,0,0,N/A
els,3887,Ellis Clay,Canada,35,N/A,0.89,-716,295,7589,4892,5608,0.87,42.2,73.7,0.77,"{""2014"":0.73,""2015"":0.89,""2016"":0.88,""2017"":0.92,""2018"":0.84}",80,"[""9521/up north"",""7217/subtLe"",""5454/SKDC"",""6794/KKona"",""6686/AGG"",""6301/Splyce"",""4288/sapphirekelowna"",""2406/Blight Gaming""]",0,0,0,0,0,0,0,N/A
REFLEX,3894,Timo Rintala,Finland,32,N/A,1,119,307,7807,5358,5239,1.02,46.4,73.7,0.91,"{""2012"":1.06,""2013"":0.94,""2014"":1.02,""2015"":1.03,""2016"":0.97,""2017"":1.04,""2018"":0.92,""2019"":0.5}",89,"[""8504/SJ"",""5298/Minttu"",""7331/iGame.com"",""7865/HAVU"",""5727/ENCORE"",""4475/ROCCAT"",""4576/Menace"",""5935/Availer's Stars"",""5136/Finland"",""5789/3DMAX"",""4781/Refuse"",""4988/solemn"",""4999/Team REFLEX"",""4993/ONLINERzz"",""4612/Hawks"",""4631/Curse"",""4665/RAIDERS"",""4466/WinFakt"",""2562/Goblins"",""4105/TMVG"",""3920/aNimus-Gaming"",""1761/Soltec"",""725/Temptation"",""2319/rootz""]",0,0,0,6,0,0,0,N/A
puffran,3943,Niclas Sundell,Sweden,32,N/A,0.87,-51,17,413,259,310,0.84,38.2,76.7,N/A,"{""2014"":0.88,""2015"":0.84,""2018"":1.04}",6,"[""6418/KoN Sweden"",""6138/INFINITY"",""4477/Publiclir.se"",""5498/Karnage"",""3038/Gamerzone"",""3573/Regret""]",0,0,0,0,0,0,0,N/A
maak,3964,Markus Karlsen,Norway,29,N/A,0.97,-165,223,5866,3950,4115,0.96,50.6,76.6,0.8,"{""2013"":0.93,""2014"":0.98,""2015"":0.98,""2016"":1,""2017"":0.85}",73,"[""4611/Temp.no"",""7378/dreamchasers"",""7454/Gatekeepers"",""6220/Epiphany Bolt"",""4606/BX3"",""5214/PANTERS"",""5569/London Conspiracy"",""5108/Norway"",""6320/Aspen"",""4904/H2k"",""4935/H2k.mix"",""4826/plan-B""]",0,0,0,0,0,0,0,N/A
huNter-,3972,Nemanja Kovač,Bosnia and Herzegovina,29,N/A,1.1,4593,1906,49081,37021,32428,1.14,49.3,82.5,1.08,"{""2015"":0.91,""2016"":1.1,""2017"":1.16,""2018"":1.16,""2019"":1.15,""2020"":1.07,""2021"":1.08,""2022"":1.08,""2023"":1.04,""2024"":0.98}",548,"[""5995/G2"",""10150/CR4ZY"",""8481/Valiance"",""6669/Binary Dragons"",""4803/iNation"",""5273/GamePub"",""5109/Bosnia & Herzegovina"",""6391/GRS.GP"",""6128/Jake Bube"",""3611/MK.inuria"",""4285/aimface""]",0,6,6,51,2,4,0,12
loWel,3997,Christian Garcia Antoran,Spain,26,N/A,1.05,1739,1008,26413,18549,16810,1.1,47.5,75.8,1.01,"{""2013"":1.03,""2014"":0.97,""2015"":1.14,""2016"":1.11,""2017"":1,""2018"":1.05,""2019"":1.03,""2020"":0.99}",325,"[""7718/Movistar Riders"",""5310/HellRaisers"",""6118/Tempo Storm"",""7080/Wololos"",""5422/Dignitas"",""4494/MOUZ"",""5395/PENTA"",""5101/Spain"",""5435/gBots"",""4759/OverGaming"",""4468/x6tence"",""4591/Wizards"",""4783/myXMG.net"",""3605/DN-Gaming"",""3019/Spanien"",""41/Spain"",""3609/pELucONeS"",""3030/Fendetestas""]",0,3,0,16,0,0,0,N/A
Pizituh,4005,Filipe Pires,Portugal,32,N/A,0.92,-388,278,7267,4575,4963,0.92,47.3,71.7,0.85,"{""2014"":0.87,""2015"":1,""2016"":0.91,""2017"":0.97,""2018"":0.87,""2019"":0.91,""2020"":0.97,""2023"":0.93}",80,"[""12444/Camaro Peek"",""10192/eXploit"",""9048/ASP"",""8515/OFFSET"",""9249/OFFSET.OMNI"",""7339/KPI"",""5524/AlienTech"",""5944/eGeneration"",""7326/k1ck oldschool"",""7233/VatosLocos"",""5135/Portugal"",""7007/jA'Vi"",""4469/k1ck"",""5525/NorthernGrade""]",0,0,0,0,0,0,0,N/A
barsiC,4019,Daniel Fanous,Sweden,N/A,N/A,0.9,-81,32,823,532,613,0.87,47.6,N/A,N/A,"{""2012"":0.88,""2013"":0.92,""2014"":0.89}",9,"[""5988/FlipSid3"",""5030/highgrade"",""4805/buF"",""4489/Lions"",""4225/SuperDragonz"",""4210/ComHem"",""3378/Madzone"",""3329/Friction""]",0,0,0,0,0,0,0,N/A
Aerial,4076,Jani Jussila,Finland,31,1.1,1.04,1187,1229,32411,22943,21756,1.05,41.7,77.7,1,"{""2016"":1.29,""2017"":1.12,""2018"":1.1,""2019"":0.97,""2020"":0.89,""2021"":1.06,""2022"":1,""2023"":1,""2024"":1.01}",328,"[""7865/HAVU"",""4869/ENCE"",""8504/SJ"",""8105/VITALIS"",""6263/SkitLite"",""7638/Chrome"",""6420/KoN Finland"",""3365/XYSMA "",""11827/JANO""]",0,2,2,18,1,0,0,N/A
ronne,4133,Haron Mustaffa,Malaysia,32,N/A,0.88,-83,33,841,524,607,0.86,45,70.8,0.9,"{""2013"":0.61,""2016"":0.87,""2017"":0.88,""2018"":1.04}",4,"[""6109/MVP.karnal"",""8599/Karnal"",""8585/gundeK"",""5013/Orange"",""5253/Team LZ"",""4347/Astronix"",""3651/Karnal""]",0,0,0,0,0,0,0,N/A
wanr0,4136,Mohd Syazwan Hanafie,Malaysia,31,N/A,1.01,7,69,1758,1249,1242,1.01,42.2,79.2,0.96,"{""2013"":1.96,""2015"":1,""2016"":0.92,""2017"":1.02,""2019"":0.66}",22,"[""10007/5 Monkeys"",""7491/JYP"",""5013/Orange"",""6109/MVP.karnal"",""3651/Karnal""]",0,0,0,0,0,0,0,N/A
breAker,4144,Obaid Al-Muhairi,United Arab Emirates,33,N/A,0.92,-323,274,7172,4606,4929,0.93,34.6,71.7,0.7,"{""2013"":0.63,""2016"":0.98,""2017"":0.9,""2018"":0.92,""2019"":0.88,""2020"":0.92}",72,"[""6591/JustPassingBy"",""8211/NASR"",""6681/Risky"",""5167/RvN"",""7149/Swift"",""7041/UAE"",""5166/Falood Jacksons""]",0,0,0,0,0,0,0,N/A
LETN1,4216,Nestor Tanić,Serbia,30,N/A,1.02,1135,1116,29031,19436,18301,1.06,49.6,72.8,0.93,"{""2013"":0.84,""2014"":0.87,""2015"":1.04,""2016"":1.08,""2017"":1.1,""2018"":1.04,""2019"":0.93,""2020"":0.84}",333,"[""12321/Team olofmeister"",""10606/c0ntact"",""10150/CR4ZY"",""8481/Valiance"",""6669/Binary Dragons"",""4803/iNation"",""5111/Serbia"",""6266/CSGO-Saloon"",""6391/GRS.GP"",""6384/MaxAndRelax"",""5273/GamePub"",""5722/aimface"",""3419/iNation""]",0,1,0,4,0,0,0,N/A
Dav,4218,David Miljanić,Serbia,32,N/A,0.91,-822,468,12095,7539,8361,0.9,40.7,71.2,0.57,"{""2013"":0.93,""2015"":1.06,""2016"":0.92,""2017"":0.95,""2018"":0.95,""2019"":0.87,""2020"":0.91,""2021"":0.89,""2022"":0.84}",145,"[""4803/iNation"",""11001/ONYX"",""10934/Saints"",""7711/lvlUP"",""10889/cTa"",""10727/Excellency"",""10382/RADNICKI"",""5347/BLUEJAYS"",""7348/Entity"",""5273/GamePub"",""8992/Bajini Puleni"",""7669/Squared"",""7449/Brewtopia"",""7022/Creation"",""5111/Serbia"",""4968/SENSEi"",""4114/DEFUSE"",""3961/whatever"",""3863/United"",""3537/eZone""]",0,0,0,0,0,0,0,N/A
Lox,4233,Tonoy Prince Sayeed,Sweden,N/A,N/A,0.9,-64,34,855,515,579,0.89,51.7,N/A,N/A,"{""2013"":0.9}",9,"[""4761/WRTT"",""4688/Epsilon"",""3656/WRTT""]",0,0,0,0,0,0,0,N/A
sukitRon,4354,Arturo Gil,Venezuela,35,N/A,0.83,-248,63,1650,982,1230,0.8,33,N/A,N/A,"{""2013"":1.04,""2014"":1.03,""2015"":0.73}",13,"[""4591/Wizards"",""4468/x6tence"",""5708/Outbreak"",""4760/Karont3"",""4327/Karont3"",""4271/Karont3.es"",""922/overGame""]",0,0,0,0,0,0,0,N/A
bladE,4360,Galder Barcena,Spain,36,N/A,0.92,-263,181,4632,2963,3226,0.92,45.7,70.1,N/A,"{""2014"":0.97,""2015"":0.79,""2016"":0.94,""2017"":0.96,""2018"":1.03,""2019"":0.73,""2021"":0.82}",59,"[""7718/Movistar Riders"",""9086/Dragons"",""4468/x6tence"",""6222/k1ck"",""5435/gBots"",""4469/k1ck"",""4759/OverGaming"",""5708/Outbreak"",""3605/DN-Gaming"",""1031/imaginet""]",0,0,0,0,0,0,0,N/A
EasTor,4373,Rajohn Linato,Spain,29,N/A,1.01,378,503,13375,9077,8699,1.04,28.5,68.8,0.91,"{""2015"":1.04,""2016"":1.12,""2017"":1.17,""2018"":1.11,""2019"":1.04,""2020"":0.94,""2021"":0.97,""2022"":0.96}",158,"[""5101/Spain"",""11594/ORO"",""8515/OFFSET"",""10978/VELOX"",""9996/9z"",""7718/Movistar Riders"",""9086/Dragons"",""7080/Wololos"",""7683/G2V"",""4468/x6tence"",""6037/overGame"",""1030/Qlimax"",""3639/silentsouls""]",0,0,0,0,0,0,0,N/A
felippe,4466,Felippe Martins,Brazil,N/A,1.05,N/A,4,15,389,262,258,1.02,50.8,75.7,0.5,"{""2016"":1.01,""2018"":0.97}",6,"[""8821/Authority"",""4773/paiN"",""3688/paiN"",""2261/semXorah""]",0,0,0,0,0,0,0,N/A
mkzz,4496,Miika Saarelainen,Finland,N/A,N/A,0.71,-32,5,125,67,99,0.68,49.3,N/A,N/A,"{""2013"":0.71}",1,"[""4999/Team REFLEX"",""4869/ENCE"",""4119/MoD-eSport"",""2562/Goblins"",""2319/rootz""]",0,0,0,0,0,0,0,N/A
dEE,4576,Miloš Marčeta,Bosnia and Herzegovina,27,1.07,1.04,657,512,13533,9513,8856,1.07,32.9,72.3,0.84,"{""2016"":1.09,""2017"":1.07,""2018"":1.08,""2019"":1.08,""2020"":0.96,""2021"":1.02,""2022"":1.06}",188,"[""6128/Jake Bube"",""10509/Juggernauts"",""5109/Bosnia & Herzegovina"",""11525/KTRL"",""10933/4glory"",""11087/FULL SHOCK"",""7711/lvlUP"",""10453/ex-BLUEJAYS"",""5347/BLUEJAYS"",""9679/Akopalipsa"",""5273/GamePub"",""9376/UltiCoin"",""8992/Bajini Puleni"",""8671/TRAZED"",""8401/Zonic"",""7951/Fireplay"",""7712/cs24h"",""7449/Brewtopia"",""7500/HEJT"",""5819/EZPZ_LS"",""3611/MK.inuria"",""3734/GAMEDAMAGE""]",0,0,0,0,0,0,0,N/A
SVEN1,4607,Kevin Bouabdelli,France,33,N/A,0.81,-134,35,889,519,653,0.79,27.9,62.2,N/A,"{""2015"":0.7,""2016"":0.85,""2017"":0.51}",6,"[""7816/KLIM"",""5596/Platinium"",""6131/beGenius"",""4675/Evokate"",""3765/IYH"",""3450/nSydia ""]",0,0,0,0,0,0,0,N/A
zeff,4637,Min-Seok Park,Korea,34,N/A,1,54,482,12229,8381,8327,1.01,42,77.8,0.87,"{""2015"":1.39,""2016"":1.08,""2017"":1.03,""2018"":0.97,""2019"":0.96}",110,"[""7354/MVP PK"",""6474/MVP Project"",""6485/autocracy"",""575/project_kr""]",0,0,0,9,0,0,0,N/A
cLy,4638,Anil Gülec,Germany,N/A,N/A,1.18,461,107,2756,2209,1748,1.26,35.9,N/A,N/A,"{""2012"":1.07,""2013"":1.25,""2014"":1.12}",33,"[""5195/Planetkey"",""4494/MOUZ"",""4901/3DMAX"",""5106/Turkey"",""5171/Death.Energy "",""4741/TCM-Gaming"",""4492/gamed!de"",""4497/mTw"",""4276/Da-MiGhtY"",""3630/Underdog$"",""60/mousesports"",""1453/Hardware4u""]",0,0,0,0,0,0,0,N/A
jks,4679,Justin Savage,Australia,29,N/A,1.06,2550,1480,38099,26397,23847,1.11,53.4,76.1,1.04,"{""2014"":0.66,""2015"":1.07,""2016"":1.09,""2017"":1.09,""2018"":1.08,""2019"":1.12,""2020"":1.07,""2021"":0.97,""2022"":1,""2023"":1.01,""2024"":1.01}",652,"[""5995/G2"",""6667/FaZe"",""5005/Complexity"",""8474/100 Thieves"",""6211/Renegades"",""7891/Team Australia"",""4784/Vox Eminor"",""6178/Australia"",""5973/Liquid""]",0,9,5,65,10,2,0,15
