Aug 14 2023,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
larsen,7965,Sebastian Larsen,Denmark,26,N/A,0.98,34,636,16815,11048,11014,1,30.7,70,0.97,"{""2013"":0.96,""2014"":0.63,""2015"":0.91,""2016"":1.08,""2017"":1.06,""2018"":1.05,""2019"":0.98,""2020"":0.97,""2021"":0.95}",168,"[""4602/Tricked"",""6978/Singularity"",""7718/Movistar Riders"",""10372/Sigma"",""7674/Ambush"",""8716/GoldenGitte"",""7875/struggletony"",""7669/Squared"",""7986/preanus"",""8033/Magicians"",""5208/Reason"",""7732/Forcebuy"",""6806/Nevermad"",""6448/Revival"",""6662/Granted"",""6360/eaZyQuaL"",""5355/myKPV"",""5125/Cursive"",""5126/momo momo""]",0,0,0,0,0,0,0,N/A
DESPE,7980,Çağatay Sedef,Turkey,30,N/A,1.01,320,468,12127,8068,7748,1.04,29.8,68.7,0.91,"{""2013"":0.72,""2015"":1.04,""2016"":1.03,""2017"":0.94}",148,"[""5929/Space Soldiers"",""5106/Turkey""]",0,0,0,0,0,0,0,N/A
to1nou,7982,Antoine Pirard,Belgium,28,N/A,1.01,520,850,22377,15196,14676,1.04,30.5,68.8,0.93,"{""2013"":1.26,""2014"":0.96,""2015"":1.09,""2016"":1.07,""2017"":0.97,""2018"":1.02,""2019"":0.87}",244,"[""10316/FiveG"",""10025/Instinct"",""9950/chebran"",""4674/LDLC"",""5140/Belgium"",""7262/dd"",""6045/LDLC White"",""5596/Platinium""]",0,0,0,0,0,0,0,N/A
Detrony,7993,Dimitri Hadjipaschali,South Africa,32,N/A,1.08,848,413,10468,7636,6788,1.12,34.7,77.3,0.81,"{""2013"":1.14,""2014"":1.14,""2015"":1.36,""2016"":1.18,""2017"":1.22,""2018"":0.99,""2019"":1.11}",157,"[""5158/Bravado"",""8193/Goliath"",""6282/South Africa""]",0,1,0,0,0,0,0,N/A
CRUC1AL,7996,Joey Steusel,Netherlands,26,N/A,1.07,3152,1659,43645,31247,28095,1.11,29,73.1,0.99,"{""2013"":1.08,""2014"":1.08,""2015"":1.01,""2016"":1.1,""2017"":1.08,""2018"":1.07,""2019"":1.09,""2020"":1.06,""2021"":1.06,""2022"":1.02}",557,"[""11164/Into the Breach"",""12120/Orgless Heroes"",""5103/Netherlands"",""7234/Endpoint"",""10420/Phoenix"",""10225/ex-Epsilon"",""10323/De Steusels"",""4688/Epsilon"",""7666/Defusekids"",""6298/fish123"",""9396/Business 5"",""6652/GameAgents"",""6132/Method"",""7701/Imperial"",""6301/Splyce"",""4579/LowLandLions"",""6967/TBi"",""5395/PENTA"",""6639/nerdRage"",""4445/FMESPORTS"",""6732/Barrage"",""4554/Infused"",""6133/Orbit"",""5413/Avenue""]",0,1,0,0,0,0,0,N/A
s1mple,7998,Oleksandr Kostyliev,Ukraine,25,N/A,1.24,9619,1706,45230,38319,28700,1.34,41.1,85.5,1.28,"{""2013"":0.94,""2014"":1.19,""2015"":1.18,""2016"":1.15,""2017"":1.24,""2018"":1.31,""2019"":1.28,""2020"":1.27,""2021"":1.31,""2022"":1.23}",629,"[""4608/Natus Vincere"",""12354/VITAVI"",""9565/Vitality"",""12079/One Shot"",""11939/Edward's Team"",""9613/cats"",""9190/Team West"",""4494/MOUZ"",""5144/Ukraine"",""4411/Ninjas in Pyjamas"",""5973/Liquid"",""6302/Worst Players"",""6900/Americas All-Stars"",""5988/FlipSid3"",""5310/HellRaisers"",""6405/Orgless"",""6408/Arcade"",""4742/Nostalgie"",""6249/Evolution"",""5577/A-Gaming"",""5004/USSR"",""5487/Hashtag"",""5008/Courage""]",1,13,13,78,21,7,7,1
syken,8000,Thilo Phan,Germany,27,N/A,0.98,-248,413,10832,7450,7698,0.97,57.8,74.1,0.99,"{""2013"":0.99,""2014"":0.78,""2015"":1.05,""2016"":1.03,""2017"":1.04,""2018"":0.96,""2019"":0.93}",107,"[""5121/Berzerk"",""10256/epikk"",""10128/ad hoc"",""9393/expert"",""9722/NoChance"",""9062/FriendlyFire"",""7425/DIVIZON"",""6343/EURONICS"",""8397/TBA"",""8119/ballogando"",""7850/eudededede"",""4501/ALTERNATE aTTaX"",""5195/Planetkey"",""6740/Lioncast"",""6999/FiVe"",""5122/LeiSuRe"",""4689/EYES ON U"",""6575/Phoenix"",""6154/uX"",""6383/CSGOEvo White"",""4496/dotpiXels"",""5171/Death.Energy ""]",0,0,0,0,0,0,0,N/A
Lambert,8047,Lambert Prigent,France,31,N/A,0.88,-1687,803,21208,12388,14075,0.88,37.3,63.3,0.78,"{""2013"":1.19,""2014"":1.06,""2015"":0.94,""2016"":0.85,""2017"":1,""2018"":0.91,""2019"":1.1,""2020"":0.87}",231,"[""4674/LDLC"",""10586/Avengers"",""9911/clear"",""9073/WAYE"",""9210/Boys in Blue"",""9168/RUSH B"",""7856/EnVyUs Academy"",""5991/Envy"",""9010/Nturtles"",""8890/weneeddollars"",""7584/Tortues Ninja"",""7625/Death"",""7242/dizLown"",""6368/Red Instinct"",""6962/Red Instinct RS"",""7162/Lambert"",""6369/Dead Pixels"",""5596/Platinium"",""6073/melty"",""4449/webSPELL"",""5199/LeetGamerZ""]",0,0,0,0,0,0,0,N/A
AZR,8082,Aaron Ward,Australia,30,N/A,0.98,-249,1145,29916,20431,20680,0.99,51.6,74.3,0.98,"{""2013"":2.41,""2014"":0.98,""2015"":1.05,""2016"":1.09,""2017"":1,""2018"":0.97,""2019"":0.94,""2020"":0.94,""2021"":0.91}",278,"[""8637/Sprout"",""11726/Encore"",""10096/EXTREMUM"",""8474/100 Thieves"",""6211/Renegades"",""7891/Team Australia"",""4784/Vox Eminor"",""6178/Australia""]",0,8,1,42,0,0,0,N/A
aizy,8095,Philip Aistrup,Denmark,27,N/A,1.03,1200,1613,42453,29675,28475,1.04,50.5,75.7,1.04,"{""2013"":0.91,""2014"":0.98,""2015"":1.13,""2016"":1.02,""2017"":0.97,""2018"":1,""2019"":1.02,""2020"":1.01,""2021"":1,""2022"":0.64}",508,"[""11712/Sashi"",""12119/NtK"",""11562/Tokyo Revengers"",""11281/South"",""11084/HYENAS"",""7533/North"",""6667/FaZe"",""5422/Dignitas"",""5995/G2"",""5139/Denmark"",""5971/Deponeret"",""4548/CPH Wolves"",""5208/Reason"",""4448/3DMAX"",""5217/Xapso""]",0,11,4,65,0,0,0,N/A
DavCost,8124,Vadim Vasilyev,Russia,27,N/A,1.04,1931,1342,35415,24698,22767,1.08,32.3,73.4,0.94,"{""2013"":1.07,""2014"":1.1,""2015"":1,""2016"":1.16,""2017"":1.05,""2018"":1.03,""2019"":1.07,""2020"":1.01,""2021"":0.96}",465,"[""10817/Invictus International"",""11857/JiJieHao International"",""11219/INDE IRAE"",""11759/KJlACCHblE"",""11492/GMT"",""10621/1WIN"",""10412/MELBET"",""9991/KAV0"",""10189/Moscow CreepZ"",""7734/16yotalents"",""9927/OwmS"",""7020/Spirit"",""7268/.Russia"",""6651/Gambit"",""6167/Phenomenon"",""6408/Arcade"",""6302/Worst Players"",""6471/YP"",""5988/FlipSid3"",""5004/USSR"",""4876/EYESports"",""5338/TEAMSWAGYOLO"",""5623/Faith"",""5480/OneShot"",""5018/Divine""]",0,5,0,0,0,0,0,N/A
Dimaoneshot,8125,Dmitriy Bandurka,Russia,28,N/A,0.99,-556,1320,34760,23974,24530,0.98,52.5,77.4,1,"{""2013"":0.75,""2014"":0.89,""2015"":1.02,""2016"":1,""2017"":0.96,""2018"":0.96,""2019"":0.97,""2020"":1.03,""2022"":0.79}",319,"[""12340/Team flamie"",""12216/Source2"",""11798/fANDER"",""8669/Espada"",""7969/Nemiga"",""8772/Syman"",""7020/Spirit"",""8120/AVANGAR"",""10380/Broshenki"",""6094/Vega Squadron"",""9968/Team seang@res"",""9193/PLINK"",""7900/Spirit Academy"",""7797/Spartak"",""6167/Phenomenon"",""6408/Arcade"",""6302/Worst Players"",""6471/YP"",""6597/Quest"",""5716/Enervate"",""5018/Divine"",""5623/Faith"",""5480/OneShot""]",0,2,0,0,0,0,0,N/A
reltuC,8137,Stephen Cutler,United States,34,N/A,0.97,-74,865,22664,14788,14862,1,40.5,73.3,0.93,"{""2014"":1.01,""2015"":0.99,""2016"":0.9,""2017"":0.98,""2018"":0.99,""2019"":0.91}",263,"[""10625/Swole Identity"",""10092/Peeker's Advantage"",""10147/s0mkillers"",""6211/Renegades"",""5991/Envy"",""6050/boxr"",""9060/ex-Splyce"",""6301/Splyce"",""6707/RONIN"",""8598/Unemployed for Christmas"",""5974/CLG"",""4645/mouseSpaz"",""5543/NetcodeGuides.com""]",0,5,0,24,0,0,0,N/A
Davidp,8138,David Prins,Belgium,28,N/A,1.03,1009,774,20539,14255,13246,1.08,39.7,77.9,0.98,"{""2015"":1.26,""2016"":1.03,""2017"":0.93,""2018"":1.03,""2019"":1.05}",302,"[""10593/Demolition Crew"",""8346/Heretics"",""10035/FrenchFrogs"",""9896/ex-3DMAX"",""4914/3DMAX"",""9099/NOBO"",""7009/MeMyself&I"",""7242/dizLown"",""6220/Epiphany Bolt"",""6131/beGenius"",""7896/unLucky"",""7667/RANKS"",""4559/Millenium"",""7262/dd"",""5140/Belgium"",""6369/Dead Pixels"",""5034/WE GOT GAME"",""5395/PENTA""]",0,0,0,0,0,0,0,N/A
maeVe,8150,Lasse Elgaard,Denmark,33,N/A,0.96,-131,487,12606,8154,8285,0.98,40.5,72.3,0.92,"{""2014"":1.21,""2015"":0.98,""2016"":0.97,""2017"":0.91}",167,"[""10488/Secret"",""8465/LPSP"",""8420/meNikmati"",""4688/Epsilon"",""7919/ajukreizi"",""7580/FUAH"",""4666/duttdutt"",""4602/Tricked"",""6865/Escape"",""6405/Orgless"",""6675/PixelFire"",""6460/CSGO.one"",""5208/Reason"",""6137/SK"",""4548/CPH Wolves"",""4593/CPLAY"",""5737/unu.AiN"",""5455/NewStyle"",""5323/jQntefabrikkeN""]",0,0,0,0,0,0,0,N/A
AcilioN,8151,Asger Larsen,Denmark,26,N/A,0.95,-1645,1864,49119,31756,33401,0.95,44.2,72.4,0.91,"{""2014"":1.12,""2015"":1,""2016"":0.91,""2017"":1.01,""2018"":0.9,""2019"":0.93,""2020"":0.91,""2021"":0.94,""2022"":0.93}",446,"[""11712/Sashi"",""4602/Tricked"",""8064/undefined"",""11841/yodagus"",""9806/Apeks"",""7461/Copenhagen Flames"",""8362/MAD Lions"",""7175/Heroic"",""4688/Epsilon"",""7701/Imperial"",""8543/MANS NOT HOT"",""7552/1337HUANIA"",""5422/Dignitas"",""4763/hatersg0nnahate"",""6301/Splyce"",""7059/X"",""6137/SK"",""7002/mix123"",""5208/Reason"",""5139/Denmark"",""4548/CPH Wolves"",""5758/myXMG"",""5737/unu.AiN"",""5455/NewStyle"",""5449/NO SIR!"",""4716/myRevenge"",""4858/oXzone"",""5126/momo momo""]",0,1,0,19,0,0,0,N/A
rain,8183,Håvard Nygaard,Norway,28,N/A,1.02,825,1776,47159,33336,32511,1.03,56,79.8,1.08,"{""2014"":0.98,""2015"":1.09,""2016"":1.08,""2017"":1.1,""2018"":1,""2019"":0.99,""2020"":0.96,""2021"":0.94,""2022"":1.01}",411,"[""6667/FaZe"",""9516/Team rain"",""7243/.Norway"",""5108/Norway"",""6901/Europe All-Stars"",""5214/PANTERS"",""5995/G2"",""5569/London Conspiracy"",""6134/Kinguin"",""5962/LGB"",""5926/Clutchit.org"",""4904/H2k"",""4732/partyastronauts""]",1,16,15,99,3,3,1,4
ALEX,8184,Alex McMeekin,United Kingdom,27,N/A,0.99,-372,1162,30750,21407,21779,0.98,47.3,76.3,0.96,"{""2014"":1.35,""2015"":0.96,""2016"":0.97,""2017"":1.03,""2018"":1.02,""2019"":0.97,""2020"":0.97,""2021"":0.95}",282,"[""4991/fnatic"",""5752/Cloud9"",""9565/Vitality"",""4674/LDLC"",""9073/WAYE"",""7234/Endpoint"",""8303/samba"",""6962/Red Instinct RS"",""7162/Lambert"",""5596/Platinium"",""5034/WE GOT GAME"",""6073/melty"",""5991/Envy"",""4449/webSPELL""]",0,2,3,19,0,0,0,N/A
