Aug 01 2023,id,fullName,country,age,rating2,rating1,KDDiff,maps,rounds,kills,deaths,KDRatio,HSRatio,adr,ratingTop20,ratingYear,clutchesTotal,teams,majorsWon,majorsPlayed,LANsWon,LANsPlayed,MVPs,top20s,top10s,topPlacement
mou,964,Rustem Telepov,Kazakhstan,31,N/A,1.05,2555,1547,41095,29109,26554,1.1,27.9,73.6,1.04,"{""2013"":1.06,""2014"":1.01,""2015"":1.01,""2016"":1.09,""2017"":1.07,""2018"":1.07,""2019"":0.93,""2020"":1.04,""2021"":1.06,""2022"":1}",482,"[""11889/Forward"",""7244/K23"",""8772/Syman"",""6651/Gambit"",""5310/HellRaisers""]",1,6,4,35,1,0,0,N/A
KHRN,971,Jesse Grandell,Finland,33,N/A,0.97,-245,935,24443,15822,16067,0.98,48,71,0.86,"{""2013"":0.98,""2014"":1.01,""2015"":0.97,""2016"":1.07,""2017"":0.99,""2018"":0.91,""2019"":0.97}",238,"[""8504/SJ"",""7331/iGame.com"",""7865/HAVU"",""5727/ENCORE"",""5789/3DMAX""]",0,1,0,9,0,0,0,N/A
SZPERO,973,Grzegorz Dziamałek,Poland,32,N/A,0.99,673,2183,57837,39062,38389,1.02,33.6,72,0.94,"{""2013"":0.85,""2014"":0.87,""2015"":1.02,""2016"":1.06,""2017"":1.05,""2018"":1.04,""2019"":1.02,""2020"":0.93,""2021"":0.93}",710,"[""12184/ODLOTOWE AGENTKI"",""10973/Anonymo"",""10278/9INE"",""10426/Wisla Krakow"",""8911/adwokacik"",""8068/AGO"",""6134/Kinguin"",""5599/Dobry&amp;Gaming"",""6372/CSGL"",""5995/G2"",""4532/ESC""]",0,1,0,11,0,0,0,N/A
Maikelele,1045,Mikail Bill,Sweden,32,N/A,1.01,941,1075,28357,18983,18042,1.05,37,73.3,0.96,"{""2013"":0.98,""2014"":1.14,""2015"":1,""2016"":0.95,""2017"":1.06,""2018"":1,""2019"":1,""2020"":0.94}",424,"[""6902/GODSENT"",""10315/SMASH"",""9722/NoChance"",""9085/Chaos"",""8721/Enyoy"",""7613/Red Reserve"",""4411/Ninjas in Pyjamas"",""6667/FaZe"",""5995/G2"",""6134/Kinguin"",""5679/ESG!"",""5028/LGB""]",0,5,2,26,1,0,0,N/A
crisby,1064,Christian Schmitt,Germany,31,N/A,0.93,-1814,1209,31542,20610,22423,0.92,54.4,71.5,0.86,"{""2012"":0.9,""2013"":0.99,""2014"":0.86,""2015"":0.95,""2016"":0.97,""2017"":0.93,""2018"":0.94,""2019"":0.92,""2020"":0.79,""2021"":0.74}",308,"[""9812/Unicorns of Love"",""6343/EURONICS"",""4501/ALTERNATE aTTaX"",""5093/KILLERFISH"",""5395/PENTA"",""4494/MOUZ"",""4496/dotpiXels""]",0,0,0,0,0,0,0,N/A
liTTle,1088,Anatoliy Yashin,Russia,34,N/A,1.12,1550,457,12154,9317,7766,1.2,27.7,78.5,1.12,"{""2013"":1.01,""2014"":0.88,""2015"":1.14,""2016"":1.21,""2017"":1.15,""2018"":0.92}",192,"[""8135/FORZE"",""7797/Spartak"",""4610/RuSh3D"",""7060/NokSuKao"",""6668/FLuffy Gangsters"",""6213/Enso"",""5218/ACES""]",0,0,0,0,0,0,0,N/A
dennis,1146,Dennis Edman,Sweden,32,N/A,1.03,1136,1578,41942,29920,28784,1.04,54.4,76.5,1.04,"{""2012"":0.79,""2013"":1.14,""2014"":1.04,""2015"":1.04,""2016"":1.08,""2017"":1.01,""2018"":1,""2019"":1,""2020"":1.01,""2021"":1.02}",452,"[""9806/Apeks"",""9928/GamerLegion"",""4411/Ninjas in Pyjamas"",""6902/GODSENT"",""4991/fnatic"",""5995/G2"",""6134/Kinguin"",""5028/LGB""]",0,10,6,48,1,1,0,20
roman,1154,Roman Redihin,Belarus,34,N/A,0.91,-664,414,10880,6787,7451,0.91,55,69.6,0.7,"{""2013"":1.17,""2014"":0.99,""2015"":0.59,""2016"":0.84,""2017"":0.94,""2018"":0.87}",121,"[""9887/Zorka"",""7969/Nemiga"",""4908/K29"",""6668/FLuffy Gangsters"",""5342/97club""]",0,0,0,0,0,0,0,N/A
hitMouse,1200,Kirill Tsarev,Belarus,33,N/A,0.92,-625,538,14028,8785,9410,0.93,49,71.2,0.8,"{""2014"":1.07,""2015"":0.96,""2016"":0.87,""2017"":0.97,""2018"":0.9,""2019"":0.87,""2020"":0.89}",205,"[""11094/NewBelarus"",""7969/Nemiga"",""4908/K29"",""6923/ANOX""]",0,0,0,0,0,0,0,N/A
BTN,1206,Cătălin-Ionuț Stănescu,Romania,34,N/A,0.9,-3182,1381,36580,22922,26104,0.88,53.1,71.7,0.86,"{""2013"":0.85,""2014"":1.02,""2015"":1.06,""2016"":0.93,""2017"":0.94,""2018"":0.98,""2019"":0.97,""2020"":0.85,""2021"":0.84,""2022"":0.88}",381,"[""7187/Nexus"",""4922/neXtPlease!""]",0,0,0,0,0,0,0,N/A
shox,1225,Richard Papillon,France,31,N/A,1.07,3765,2074,54508,39745,35980,1.1,48.8,75.4,1.05,"{""2012"":1.31,""2013"":1.22,""2014"":1.15,""2015"":1.07,""2016"":1.13,""2017"":1.04,""2018"":1.02,""2019"":1.04,""2020"":1.02,""2021"":0.98,""2022"":0.9}",822,"[""12093/Nakama"",""9806/Apeks"",""5973/Liquid"",""9565/Vitality"",""5995/G2"",""5284/Titan"",""5991/Envy"",""4674/LDLC"",""4456/Epsilon"",""4467/VeryGames"",""4615/Imaginary""]",1,17,16,96,4,4,3,3
pNshr,1278,Nikolay Paunin,Bulgaria,31,N/A,0.92,-812,600,15671,9886,10698,0.92,43.2,71,0.87,"{""2013"":0.96,""2014"":1.04,""2015"":0.97,""2016"":0.94,""2017"":0.92,""2018"":0.91,""2019"":0.8,""2020"":0.52}",197,"[""8513/Windigo"",""8347/ex-Outlaws"",""7864/TTFU"",""6226/E-frag.net"",""4690/HEADSHOTBG""]",0,0,0,0,0,0,0,N/A
Xp3,1331,David Garrido,France,36,N/A,0.92,-792,502,13113,8326,9118,0.91,39.7,70.5,0.87,"{""2013"":0.89,""2014"":0.89,""2015"":0.91,""2016"":0.97,""2017"":0.96,""2018"":0.84}",198,"[""8623/The Entourage"",""6707/RONIN"",""4643/Denial"",""6386/Winterfox"",""5479/Mythic"",""5775/ELEVATE""]",0,0,0,0,0,0,0,N/A
zehN,1378,Jesse Linjala,Finland,31,N/A,1.09,2620,1181,31389,22925,20305,1.13,45.5,80.4,1.04,"{""2015"":1.16,""2016"":1.17,""2017"":1.02,""2018"":1.22,""2019"":1.08,""2020"":1.07,""2021"":1.01}",383,"[""7865/HAVU"",""10671/FunPlus Phoenix"",""6902/GODSENT"",""10315/SMASH"",""9722/NoChance"",""8452/Seed"",""5395/PENTA"",""7331/iGame.com""]",0,2,0,4,0,0,0,N/A
RUBINO,1485,Ruben Villarroel,Norway,29,N/A,0.98,-170,998,26140,17632,17802,0.99,52.5,71.7,0.97,"{""2013"":0.93,""2014"":0.99,""2015"":1.04,""2016"":1,""2017"":0.98,""2018"":0.92,""2019"":0.94}",315,"[""8769/Nordavind"",""7175/Heroic"",""5422/Dignitas"",""4548/CPH Wolves"",""5962/LGB"",""5569/London Conspiracy"",""4904/H2k""]",0,4,1,30,0,0,0,N/A
glace,1883,Nicolai Jensen,Denmark,29,N/A,1,366,589,15307,10395,10029,1.04,52.2,74.4,0.95,"{""2014"":0.81,""2015"":1.05,""2016"":1,""2017"":1.03,""2018"":0.96}",150,"[""4602/Tricked"",""7058/Unity"",""7713/North Academy"",""7157/Rogue"",""6724/Preparation"",""5909/No Problem!""]",0,0,0,0,0,0,0,N/A
LOMME,1889,Frederik Nielsen,Denmark,29,N/A,0.94,-532,623,16172,10221,10753,0.95,42.5,72,0.93,"{""2013"":0.94,""2014"":0.89,""2015"":0.99,""2016"":0.92,""2017"":0.95,""2018"":0.93}",188,"[""9788/ex-Fragsters"",""4602/Tricked"",""7058/Unity"",""7713/North Academy"",""7157/Rogue"",""7074/Delete"",""6807/Alpha"",""6724/Preparation"",""5909/No Problem!"",""5208/Reason""]",0,2,0,0,0,0,0,N/A
